UTTERANCES,actor.gender,gr.amount,movie.country,movie.directed_by,movie.estimated_budget,movie.genre,movie.gross_revenue,movie.initial_release_date,movie.language,movie.locations,movie.music,movie.produced_by,movie.production_companies,movie.rating,movie.starring.actor,movie.starring.character,movie.subjects,none,person.date_of_birth
who made et,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies in british english,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me movies that are in spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
funny kids movies,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
find the rating of the movie step up,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
who were the crew for the campaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
release date for little women,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
find information about kristen stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what country did black beauty come from,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to get detailed information about the movie in july,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what movies is will ferrell in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
display all results for dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
avatar realease date,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i want to see movies made in america,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
find movies with r ratings,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
when did resident evil debut in theaters,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
language of sound of music,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what movies has christian bale appeared in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pull up spielberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
info hitch producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
when life is beautiful was released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what movies did stephen king direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies produced by morgan freeman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
get all italian language movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what movies has steven spielberg done,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to know the names of all the movies which have been directed by james cameron,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was life is beautiful made in italy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what has tom cruise acted in lately,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
show me a list of movies made in america,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what movies did michael bay direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to find pg-13 rated movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
search for will ferrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
find the guy who plays charlie on charlie's angels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
what country was kinky boots made in,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
will smith bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
release date for the hunger games,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cast hitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
find movies directed by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actress from gone with the wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
look for dramas made or shot in france,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
find the director for et,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what experience does darla anderson have as a producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who produced hotel rwanda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who stars in hitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i am looking for movies made in france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
who produced the godfather movies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for the genre step up in,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to watch a comedy made in norway,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
show me information for the movie the campaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
display information for film finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
life is beautiful movie page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i am looking for movies in spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find me a list of movies directed by james cameron,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actor from iron man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i need to see some movies from warner brothers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
can you tell me whats the rating of movie avatar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
show tom hanks movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show only movies that are in french,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
i want to see more movies with katie holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show me all movies kristen stewart has been in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who directed finding nemo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get german language films,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
who was the director of the movie titanic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what are the plots of hotel rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
can you show me the name of the producer for cabin in the woods,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who produced what to expect when you're expecting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for movies that were produced by mosfilm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
who was the main character in men in black 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show cast list for the avergers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
search mgm studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
production company for the hulk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
list of 20 th century fox films,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
show me movies by twentieth century fox,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
show me movies with time travel themes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
who is the producer of grease,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me movies directed by steven spielberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what is the name of the company that produced the movie avatar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
send me movies that are in spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me what was the budget of the movie avatar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a list of all italian speaking movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
who produced the devil wears prada,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
what is the name of the company that produced the movie inception,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
what was the date when welcome to the dollhouse was released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
find the director for finding nemo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find french films,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
who directed the sound of music,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get me info on the budget for avatar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
old man director,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get me info for the movie dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
the silence of the lambs director,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
where was rocky four filmed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me a list of any movies made in canada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what actors were in dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show all details of original finding nemo movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what was the name of the director in men in black 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what was avatar's budget,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies with sally field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
search for movies in french,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
how much revenue did the avengers take it,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
when was tom cruise born,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
find movies from miramax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
who produced the movie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for movies by language,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
how many movies has albert ruddy produced,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
find all details about star wars-a new hope movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to see zombie movies that are scary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
show me the movie now forager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i would like to know the rating for cabin in the woods,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
find movies directed by james cameron,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show cast and crew for the movie life is beautiful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what movies did clint eastwood direct and star in,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
when was life is beautiful released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
show me finding nemo director,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look for cher movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what is the classification of movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
who played in the oranges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
where can i find a director,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
please search for movies about god,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
home this movie is in english,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
how many movies did victor fleming direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies from the us,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what movies came from japan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me horror movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
what about steven spielberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me a list of scary movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to view info on life is beautiful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
when was avengers released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
get me information about spielberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
are there any movies made in spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search for actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
when house at the end of the street showing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
who starred in dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what actor played in the amazing spider man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what are all movies made by united states,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what movies has lionsgate done,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
find information about robert wise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
when was life is beautiful released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
are there any g movies out there right now,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brad pitt movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
search for movies with a pg rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
what is the origin of casa blanca,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what was the budget for avatar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looking for an action movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
need to provide more info about the movie content,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
how much revenue did the movie avatar generate,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
please list movies about war,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
who produced the godfather,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
look for movies rated g,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
get me info about the movie house at the end of the street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to find romantic movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rating for resident evil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
who directed a hard day's night,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies directed by clint eastwood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how many films has ed harris starred in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i want to see a list of movies that were made in france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what was the budget for citizen kane,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
give me some good pg moives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
director of twilight,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what was the release date for avatar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what language is the movie in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me new releases,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
director of halloween,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find zombie movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
show me finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
quentin tarrantino movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies from france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can you show me a list of movies in spanish,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what is the calendar date release for looper,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
see ed harris last movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
please find me some info on finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
check movie in july information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what age is marley and me appropriate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
find movies in hindi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me a list of some japanese movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
rocky 2 actor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
learn more about kristen stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
can you find out what the movie dredd is rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
look for what country cell 21 is from,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in the movie ants who is the producer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
search for the director of step up,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i need to see a list of pg movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
movies with tom hanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who produced hitch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
show me movies with pg ratings,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
steven spielberg bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
when did vulgaria come out,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
can i get a list of movies available in english,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
how can i get more information on finding nemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
release date for finding nemo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
who produced the godfather,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
can i please see more details for the director of finding nemo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me the actor of the ranam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what language can i watch the movie the professional,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what movies have kristen stewart done,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show me the movies produced by warner bros,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
list all steven spielberg movies,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i would like to see finding nemo's page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
information on julia roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
i want to see g -rated films now,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
show me information on darla anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
find indian movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
release day for the movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
who was the director of the movie jaws,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want a list of movies rated g,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
language of godzilla movie,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
search for dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me the last five films for lionsgate,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
the godfather came out when,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
who was the lead actor in hitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
can you show movies produced by clint eastwood,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
movies rated pg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
how can i view dirty dancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what is the campaign about,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
how many producers did the movie the hitch have,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
movies from england please,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pg movies,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
please find movies produced by clint eastwood,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who directed the perfect storm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show me movies that are in korean,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what are movies that have a r rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
recent movies by steven spielberg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what movies did hitchcock direct,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movies in english,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show brad pitt movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
where was trainspotting made,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies with tom cruise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what movies about vampires are there,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
run a search for life is beautiful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show movies with angelina jolie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
is this a foreign film,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search for movies about ice skating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
please find the release date of heroine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what director shot the 1st lord of the rings film,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how much did black swan cost,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find french movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the campaign movie page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me the actor of the movie varsham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
show me information on the cast and crew of pitchperfect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what is the mpaa rating for movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
when was finding nemo released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
search for movies starring the singer mario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I'd like to know some spanish movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
can i see the cast and crew for the movie in july,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
when will iron man 3 be out in movie theatres,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
search for russian movies,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
show me comedies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
what date was spider released,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
show me all movies for angelina jolie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what was the budget for jurassic park,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what studio made the dark knight,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
the movie ants was produced by what person,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
what is the movie category,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
